userName,score,content,at,thumbsUpCount,reviewCreatedVersion,review_length,word_count,rating_sentiment
Praveen Chouhan,5,all is good but something upgrade required.,2026-06-24 02:46:25,0,1.2026.167,43,7,Positive
Salman Khan,5,best photo FLYER,2026-06-24 02:45:04,0,1.2026.167,16,3,Positive
Denley Swartz,4,highly recommended ,2026-06-24 02:43:00,0,1.2026.167,19,2,Positive
Samuel Desalegn,5,it's good app but subscription ,2026-06-24 02:41:37,0,1.2026.160,31,5,Positive
Pardeep Verma,1,"""ChatGPT's voice model functions very poorly. It starts speaking and answering on its own without even letting me finish my sentence. Whenever I try to get some work done, it just says 'hello/hi' and immediately triggers a response, completely ruining the conversation. As a result, I am unable to complete any of my tasks. This is a very frustrating and flawed user experience.""",2026-06-24 02:41:18,0,Unknown,379,63,Negative
Kheka Yep,5,very nice apps,2026-06-24 02:40:06,0,Unknown,14,3,Positive
Fakhar Ansari,5,very nice app,2026-06-24 02:39:42,0,1.2026.160,13,3,Positive
Harvesh Yadav,5,very good apps,2026-06-24 02:38:02,0,1.2026.160,14,3,Positive
Rabeya Akter,1,this is bed,2026-06-24 02:36:57,0,1.2026.167,11,3,Negative
Trilokkumar Singh,4,very nice pic thank,2026-06-24 02:36:04,0,1.2026.167,19,4,Positive
Kelley Stratton,1,"app actually used to work. now every time I send images it changes all the details and messes up even human proportions. and it didn't used to do that they did an update and now it doesn't work at all. as for its memory thing don't trust it, I pay for it and it's become a waste of money. I used to use it for work, now I'd like to throw it out. free level only and always screws up but uses up your 2 or 3 free images. even if it's wrong, you loose your freeds",2026-06-24 02:31:23,6,1.2026.167,461,97,Negative
Patricia Mugabe,5,it is easy to use for us grown up people and understand the concepts easily,2026-06-24 02:30:22,0,1.2026.167,75,15,Positive
karthick astro,1,waste useless unable to assist in coding stuffs,2026-06-24 02:30:22,0,Unknown,47,8,Negative
Esther Edafienene,5,Alright. ChatGPT is a great assistance in one's works,2026-06-24 02:28:48,0,1.2026.167,53,9,Positive
Naseer Alvi,5,best aap for education ☺️,2026-06-24 02:27:43,0,1.2026.160,25,5,Positive
Sheri Jackson,5,"excellent easy to use,great resource",2026-06-24 02:26:30,0,1.2026.167,36,5,Positive
Kashi Nagarda,5,this is the best app,2026-06-24 02:26:21,0,1.2026.167,20,5,Positive
jagdish kanoje,5,very good apps,2026-06-24 02:25:21,0,1.2026.160,14,3,Positive
Juan Cruz,5,perfect app for me,2026-06-24 02:25:11,0,1.2026.160,18,4,Positive
siddanagouda gk,5,good and very fast and accurate data,2026-06-24 02:23:08,0,1.2026.167,36,7,Positive
Navika Sinha,5,when there is no one to talk he is with you for listening all your problems ❤️,2026-06-24 02:23:06,0,1.2026.167,78,17,Positive
Benedictus Genta,5,usefull! if you can use it in good and right way.,2026-06-24 02:21:52,0,1.2026.167,49,11,Positive
احمد وردگ,5,Good to see you chatGPT,2026-06-24 02:19:30,0,1.2026.153,23,5,Positive
Rudra Mishra,5,this app is nice,2026-06-24 02:17:25,0,1.2026.167,16,4,Positive
Dularu ram Sahu ji,5,super best all time favourite myy. chat gpt...❤️‍🩹,2026-06-24 02:17:03,0,1.2026.139,50,8,Positive
